	X	Y	Value
1	1	1	0.40
2	1	2	0.70
3	1	3	1.00
4	1	4	1.30
5	1	5	1.60
6	1	6	1.90
7	1	7	2.20
8	1	8	2.50
9	1	9	2.80
10	1	10	3.10
11	1	11	3.40
12	1	12	3.70
13	1	13	4.00
14	1	14	4.30
15	1	15	4.60
16	1	16	4.90
17	1	17	5.20
18	1	18	5.50
19	1	19	5.80
20	1	20	6.10
21	1	21	6.40
22	1	22	6.70
23	1	23	7.00
24	1	24	7.30
25	1	25	7.60
26	1	26	7.90
27	1	27	8.20
28	1	28	8.50
29	1	29	8.80
30	1	30	9.10
31	1	31	9.40
32	1	32	9.70
33	1	33	10.00
34	1	34	10.30
35	1	35	10.60
36	1	36	10.90
37	1	37	11.20
38	1	38	11.50
39	1	39	11.80
40	1	40	12.10
41	1	41	12.40
42	1	42	12.70
43	1	43	13.00
44	1	44	13.30
45	1	45	13.60
46	1	46	13.90
47	1	47	14.20
48	1	48	14.50
49	1	49	14.80
50	1	50	15.10
51	1	51	15.40
52	1	52	15.70
53	1	53	16.00
54	1	54	16.30
55	1	55	16.60
56	1	56	16.90
57	1	57	17.20
58	1	58	17.50
59	1	59	17.80
60	1	60	18.10
61	1	61	18.40
62	1	62	18.70
63	1	63	19.00
64	1	64	19.30
65	1	65	19.60
66	1	66	19.90
67	1	67	20.20
68	1	68	20.50
69	1	69	20.80
70	1	70	21.10
71	1	71	21.40
72	1	72	21.70
73	1	73	22.00
74	1	74	22.30
75	1	75	22.60
76	1	76	22.90
77	1	77	23.20
78	1	78	23.50
79	1	79	23.80
80	1	80	24.10
81	1	81	24.40
82	1	82	24.70
83	1	83	25.00
84	1	84	25.30
85	1	85	25.60
86	1	86	25.90
87	1	87	26.20
88	1	88	26.50
89	1	89	26.80
90	1	90	27.10
91	1	91	27.40
92	1	92	27.70
93	1	93	28.00
94	1	94	28.30
95	1	95	28.60
96	1	96	28.90
97	1	97	29.20
98	1	98	29.50
99	1	99	29.80
100	1	0	0.10
101	2	1	0.50
102	2	2	0.80
103	2	3	1.10
104	2	4	1.40
105	2	5	1.70
106	2	6	2.00
107	2	7	2.30
108	2	8	2.60
109	2	9	2.90
110	2	10	3.20
111	2	11	3.50
112	2	12	3.80
113	2	13	4.10
114	2	14	4.40
115	2	15	4.70
116	2	16	5.00
117	2	17	5.30
118	2	18	5.60
119	2	19	5.90
120	2	20	6.20
121	2	21	6.50
122	2	22	6.80
123	2	23	7.10
124	2	24	7.40
125	2	25	7.70
126	2	26	8.00
127	2	27	8.30
128	2	28	8.60
129	2	29	8.90
130	2	30	9.20
131	2	31	9.50
